Posisi_LS,Posisi_BT,Yellowfin,Bigeye,Albacore
-11.3,116.35,14,5,0
-11.45,115.7666666667,1,2,0
-11.4166666667,114.5,5,5,47
-11.5,114.6666666667,16,7,14
-11.85,114.3,3,0,1
-12.5833333333,113.6166666667,3,7,2
-12.35,113.8833333333,1,5,8
-12.4847222222,113.9666666667,9,2,4
-13.3833333333,114.1,3,11,2
-13.2666666667,114.3,1,6,0
-12.85,113.9,4,4,3
-11.35,114.55,11,5,0
-11.3666666667,117.5833333333,1,15,3
-11.1666666667,116.9333333333,1,3,3
-11.8,116.6333333333,4,2,4
-12.8333333333,116.5,4,11,6
-12.05,115.9333333333,6,19,6
-12,115.7666666667,5,0,5
-11.1,115.5666666667,10,12,9
-11.2666666667,115.25,15,8,1
-11.0666666667,115.65,0,5,0
-11.85,120.3,4,1,14
-11.5666666667,121.1166666667,4,8,28
-11.8166666667,121.8666666667,2,1,20
-11.5666666667,121.2333333333,5,2,36
-11.2333333333,121.3,2,12,1
-11.9166666667,117.0333333333,8,3,14
-12.5333333333,115.9333333333,4,1,12
-11.3166666667,110.6166666667,16,5,0
-11.0833333333,109.9666666667,4,7,0
-12.0666666667,110.35,1,10,13
-12.3333333333,110.1,1,1,6
-11.1833333333,110.6333333333,0,0,2
-12.15,120.3666666667,0,5,7
-12.15,121.1166666667,4,8,28
-12.0333333333,121.5333333333,4,5,10
-11.0166666667,115.9666666667,5,2,0
-11.35,115.5,12,1,4
-11.0333333333,117.2666666667,1,10,0
-11.4666666667,117.05,2,7,8
-11.3666666667,117.0166666667,1,7,17
-11.4833333333,116.3833333333,3,15,18
-11.1833333333,116.5333333333,1,4,4
-11.5833333333,116.95,4,8,5
-11.2833333333,116.8833333333,2,2,6
-12.1,117.0166666667,1,1,1
-11.2166666667,114,2,13,2
-11.2,115.1666666667,2,7,0
-11.1166666667,115.7833333333,0,0,0
-11.45,115.3833333333,0,0,1
-11.05,114.4333333333,4,0,0
-11.7833333333,118.0666666667,3,2,0
-11.8166666667,117.35,1,11,6
-12.9333333333,117.1666666667,1,11,6
-12.45,117.05,2,11,3
-13.5333333333,116.8333333333,2,11,2
-13.2,116.3,5,16,4
-12.7166666667,115.9166666667,0,10,7
-12.3666666667,116.3333333333,1,0,0
-11.4333333333,113.0833333333,0,0,1
-11.5166666667,116.0333333333,4,4,0
-11.5166666667,116.1166666667,3,1,1
