Posisi_LS,Posisi_BT,Yellowfin,Bigeye,Albacore
-9.1666666667,127.6166666667,1,3,0
-8.7666666667,127.25,11,7,0
-8.8166666667,127.2,8,0,0
-8.75,128.75,5,7,0
-8.9166666667,128.9666666667,8,4,0
-8.4666666667,128.6666666667,6,6,0
-8.7,128.95,3,10,0
-10.5833333333,120.1666666667,20,1,0
-10.5,120.3,10,1,0
-10.5833333333,120.2,5,2,0
-10.5833333333,120.3666666667,17,0,0
-10.5,120.4,3,0,0
-8.9666666667,122.95,0,1,0
-9.85,121.8666666667,3,2,0
-10,118.9333333333,2,9,2
-10.5666666667,118.3666666667,1,8,0
-10.7,118.0333333333,3,1,0
-10.8166666667,117.3,1,1,0
-8.7666666667,123.2166666667,6,2,0
-8.75,123.7,23,0,0
-8.8,123.5333333333,32,3,0
-8.7166666667,123.5333333333,24,5,0
-8.65,123.6833333333,15,4,0
-8.9833333333,123.5166666667,13,1,0
-8.7166666667,123.5666666667,9,4,0
-9.2833333333,122.3666666667,16,4,0
-9.7666666667,122.1333333333,17,0,0
-7.5,119.1166666667,13,3,0
-7.4833333333,119.15,9,3,0
-7.4833333333,119.4833333333,13,6,0
-7.5833333333,119.6333333333,10,1,0
-7.3833333333,120,2,0,0
-7.3333333333,119.5333333333,0,1,0
-7.25,119.2,10,0,0
-7.6,119.9166666667,5,2,0
-7.5166666667,119.4666666667,0,8,0
-7.3666666667,119.2333333333,9,13,0
-7.4,119.3833333333,6,4,0
-7.5833333333,119.1166666667,10,6,0
-7.7,119.55,19,5,0
-7.85,119.7,15,3,0
-8.0833333333,118.4666666667,3,0,0
-8.0333333333,118.45,2,0,0
-8,118.5333333333,6,0,0
-7.9333333333,118.3,6,0,0
-7.8333333333,117.7,1,0,0
-7.9333333333,117.3166666667,6,0,0
-8.0333333333,117.4666666667,2,1,0
-8.0666666667,118.8333333333,6,1,0
-7.6833333333,119.0833333333,1,0,0
-8.0666666667,118.8833333333,0,0,0
